Zip,Potomac,Arlington,Hunt,Glen,Lat,Long,ID
20120,31.70554389,23.65006773,85.61708526,108.4817379,38.852046,-77.470714,1
20121,29.1821492,21.12667305,83.09369058,99.27547939,38.811033,-77.462944,1
20124,33.08934097,25.03324344,87.00088235,97.75932991,38.781332,-77.391333,1
20129,42.47517616,38.14793642,81.6253868,136.6044465,39.172099,-77.601123,1
20132,47.40204059,43.07480085,85.75192315,141.531311,39.16721,-77.72057,1
20136,38.06591522,30.01043906,91.9774566,96.48675855,38.739468,-77.555635,1
20141,50.58657586,46.25871475,88.88302037,144.7152249,39.11239,-77.790704,1
20143,37.35320069,29.29710316,91.26474207,105.7365131,38.85742,-77.563477,1
20147,31.81863373,27.49077261,85.7301751,125.9472827,39.041947,-77.47813,1
20148,30.75111536,26.42387563,84.66265674,124.8803857,38.996443,-77.520545,1
20151,31.09659861,23.04050107,85.00813998,107.8758994,38.895625,-77.446497,1
20152,32.86813228,26.39839934,86.77967366,111.2337977,38.919473,-77.50236,1
20155,38.17714094,30.12104341,92.08868232,102.4823841,38.810375,-77.619362,1
20158,45.06630047,40.73906073,86.94060919,139.1955709,39.139647,-77.658859,1
20164,28.15004909,23.82280935,82.06159047,122.2793195,39.013299,-77.395067,1
20165,25.28303528,20.95579554,79.19457666,119.4123057,39.057538,-77.392009,1
20166,26.08212062,21.75488088,79.993662,120.2107696,38.986137,-77.455694,1
20169,44.57168777,36.51621161,98.48322915,108.8719599,38.877064,-77.647606,1
20170,22.47318777,18.14594803,76.38472914,116.6024582,38.979842,-77.37975,1
20171,24.06079511,19.73355537,77.97233649,105.8943418,38.92378,-77.396546,1
20175,37.50046603,33.17322629,83.57276896,131.6297364,39.064434,-77.603846,1
20176,39.22291126,34.89567152,80.7685138,133.3521816,39.184853,-77.543184,1
20180,46.60233388,49.37179216,74.89654144,147.8283023,39.268591,-77.637636,0
